"Distance Along Transect (m)","June 12, 2012","March 16, 2012"
122.72373107248552,-1.69,-2.46
123.86006191586927,-1.69,-2.46
124.99639275925301,-1.69,-2.46
126.13272360263676,-1.69,-2.46
127.26905444130834,-1.69,-2.46
128.40538528469207,-1.69,-2.46
129.54171612807582,-1.74,-2.46
130.67804697145957,-1.84,-2.46
131.81437781661037,-1.84,-2.46
132.95070865528194,-1.84,-2.46
134.0870394986657,-1.84,-2.46
135.22337034676158,-1.87,-2.46
136.3597011925014,-1.9,-2.46
137.49603203117297,-2.06,-2.45
138.63236287455672,-2.07,-2.45
139.76869371735143,-2.07,-2.45
140.90502456073517,-2.07,-2.45
142.041355406475,-2.07,-2.45
143.17768624985874,-2.07,-2.45
144.31401709324248,-2.15,-2.44
145.45034793662623,-2.2,-2.43
146.58667878236605,-2.2,-2.43
147.7230096204486,-2.2,-2.43
148.85934046383235,-2.2,-2.43
149.9956713072161,-2.2,-2.43
151.13200215059985,-2.2,-2.43
152.26833299633967,-2.24,-2.43
153.4046638397234,-2.36,-2.44
154.5409946760389,-2.39,-2.44
155.67732552649088,-2.42,-2.44
156.8136563669295,-2.42,-2.44
157.94998721031325,-2.42,-2.44
159.08631805840915,-2.42,-2.44
160.22264889472464,-2.52,-2.44
161.3589797357523,-2.53,-2.44
162.4953105838482,-2.53,-2.44
163.63164142723195,-2.53,-2.44
164.7679722706157,-2.53,-2.44
165.90430311399945,-2.53,-2.44
167.04063395443808,-2.59,-2.46
168.17696479782182,-2.62,-2.46
169.31329564120557,-2.62,-2.46
170.44962648458932,-2.62,-2.46
171.58595733032914,-2.62,-2.46
172.72228817371288,-2.62,-2.46
173.85861901179544,-2.63,-2.46
174.9949498622474,-2.67,-2.48
176.13128070091898,-2.74,-2.5
177.26761154430272,-2.75,-2.51
178.40394238768647,-2.75,-2.51
179.54027323578237,-2.75,-2.51
180.67660407681004,-2.75,-2.51
181.81293491960474,-2.75,-2.51
182.9492657629885,-2.8,-2.54
184.08559660637223,-2.81,-2.54
185.22192744975598,-2.81,-2.54
186.3582582954958,-2.81,-2.54
187.4945891318113,-2.81,-2.54
188.63091997519504,-2.81,-2.54
189.7672508185788,-2.83,-2.56
190.9035816643186,-2.84,-2.57
192.03991250770235,-2.86,-2.58
193.17624335285316,-2.86,-2.58
194.31257418916866,-2.86,-2.58
195.44890503490848,-2.87,-2.59
196.58523587829222,-2.87,-2.59
197.72156672167597,-2.89,-2.61
198.85789756977186,-2.91,-2.65
199.99422840549835,-2.91,-2.65
201.1305592488821,-2.91,-2.65
202.266890096978,-2.91,-2.65
203.40322094036173,-2.91,-2.65
204.53955178374548,-2.91,-2.65
