 UTC           m   sec  deg     m     sec    mB     m/s  deg Air(C) Sfc(C) m/s deg  f
2012 05 26 13 32  1.80  9.09 137           6.35                           20.0           1
2012 05 26 14 02  1.95  9.09 138           6.69                           20.1           1
2012 05 26 14 32  1.91  9.09 137           6.62                           20.1           1
2012 05 26 15 02  1.73  9.09 139           6.27                           20.2           1
2012 05 26 15 32  1.73  9.88 142           6.49                           20.3           1
2012 05 26 16 02  1.78  7.14 131           6.39                           20.4           1
2012 05 26 16 32  1.94  8.33 134           6.78                           20.5           1
2012 05 26 17 02  1.84  9.09 138           6.67                           20.6           1
2012 05 26 17 32  1.85  9.09 138           6.69                           20.7           1
2012 05 26 18 02  2.07  9.09 142           6.95                           20.9           1
2012 05 26 18 32  1.97  9.09 137           6.91                           20.9           1
2012 05 26 19 02  1.97  9.09 137           7.05                           21.0           1
2012 05 26 19 32  1.91  8.33 131           6.73                           21.1           1
2012 05 26 20 02  1.93  9.09 137           6.76                           21.2           1
2012 05 26 20 32  1.94  9.09 139           6.88                           21.4           1
2012 05 26 21 02  1.94  7.69 130           6.77                           21.5           1
2012 05 26 21 32  2.05  9.09 135           6.82                           21.5           1
2012 05 26 22 02  1.96  9.09 137           6.58                           21.5           1
2012 05 26 22 32  1.99  9.09 135           6.70                           21.5           1
2012 05 26 23 02  2.08  9.09 137           6.73                           21.5           1
2012 05 26 23 32  2.02  9.09 137           6.73                           21.4           1
2012 05 27 00 02  1.85  9.09 135           6.45                           21.4           1
2012 05 27 00 32  2.04  8.33 137           6.59                           21.4           1
2012 05 27 01 02  1.91  8.33 141           6.33                           21.3           1
2012 05 27 01 32  1.86  9.09 135           6.41                           21.3           1
2012 05 27 02 02  1.82  9.09 130           6.27                           21.3           1
2012 05 27 02 32  1.82  7.69 134           6.23                           21.2           1
2012 05 27 03 02  1.85  9.09 135           6.20                           21.2           1
2012 05 27 03 32  1.86  9.09 132           6.24                           21.2           1
2012 05 27 04 02  1.89  9.09 137           6.36                           21.2           1
2012 05 27 04 32  1.67  9.09 125           6.12                           21.1           1
2012 05 27 05 02  1.78  9.09 132           6.49                           21.1           1
2012 05 27 05 32  1.83  9.09 132           6.41                           21.1           1
2012 05 27 06 02  1.69  9.09 130           6.20                           21.1           1
2012 05 27 06 32  1.79  9.09 131           6.46                           21.1           1
2012 05 27 07 02  1.80  9.88 124           6.62                           21.1           1
2012 05 27 07 32  1.68  9.09 132           6.49                           21.1           1
2012 05 27 08 02  1.69  9.09 131           6.47                           21.1           1
2012 05 27 08 32  1.59  9.09 134           6.34                           21.1           1
2012 05 27 09 02  1.70  9.09 132           6.55                           21.1           1
2012 05 27 09 32  1.68  9.09 131           6.68                           21.1           1
2012 05 27 10 02  1.63  9.09 127           6.66                           21.0           1
2012 05 27 10 32  1.73  9.09 132           6.68                           21.0           1
2012 05 27 11 02  1.71  9.09 134           6.44                           21.0           1
