date_time,Wind Direction (degree)
2012-01-04T07:40:00Z,311.019226074
2012-01-04T07:49:59Z,314.761077881
2012-01-04T08:00:00Z,315.046386719
2012-01-04T08:09:59Z,320.099822998
2012-01-04T08:20:00Z,313.233032227
2012-01-04T08:29:59Z,309.438079834
2012-01-04T08:40:00Z,308.658721924
2012-01-04T09:00:00Z,309.611785889
2012-01-04T09:10:00Z,309.21105957
2012-01-04T09:19:59Z,308.805084229
2012-01-04T09:30:00Z,310.585296631
2012-01-04T09:39:59Z,309.612915039
2012-01-04T09:50:00Z,309.257659912
2012-01-04T09:59:59Z,312.077606201
2012-01-04T10:10:00Z,313.639801025
2012-01-04T10:19:59Z,315.681549072
2012-01-04T10:30:00Z,315.242095947
2012-01-04T10:40:00Z,313.749450684
2012-01-04T10:49:59Z,320.294158936
2012-01-04T11:00:00Z,320.69909668
2012-01-04T11:09:59Z,320.352081299
2012-01-04T11:20:00Z,319.118408203
2012-01-04T11:29:59Z,312.551330566
2012-01-04T11:40:00Z,313.44934082
2012-01-04T12:00:00Z,311.224517822
2012-01-04T12:10:00Z,312.486755371
2012-01-04T12:19:59Z,311.516784668
2012-01-04T12:30:00Z,310.381225586
2012-01-04T12:39:59Z,313.423706055
2012-01-04T12:50:00Z,311.244628906
2012-01-04T12:59:59Z,309.993835449
2012-01-04T13:10:00Z,307.92376709
2012-01-04T13:19:59Z,306.777008057
2012-01-04T13:30:00Z,309.214111328
2012-01-04T13:40:00Z,313.770843506
2012-01-04T13:49:59Z,309.447540283
2012-01-04T14:00:00Z,310.556396484
2012-01-04T14:09:59Z,308.333435059
2012-01-04T14:20:00Z,305.751983643
2012-01-04T14:29:59Z,310.395965576
2012-01-04T14:40:00Z,304.547271729
2012-01-04T15:00:00Z,292.181762695
2012-01-04T15:10:00Z,298.087799072
2012-01-04T15:19:59Z,295.942779541
2012-01-04T15:30:00Z,292.01751709
2012-01-04T15:39:59Z,289.952606201
2012-01-04T15:50:00Z,276.117462158
2012-01-04T15:59:59Z,269.424438477
2012-01-04T16:10:00Z,273.307159424
